5
C1 I true
C2 I true
C3 C1 true
C4 I true
C5 I true
2
X1 false 1A 2A 
X2 false 2A 3A 
50
  1          1        101 V       1001        181 
  2          2          9 W       1002        182 
  3          3        103 X         10        183 
  4          4        101 Y       1004        184 
  5          5        105 Z       1005        185 
  6          6        106 W       1006        186 
  7          7        107 X       1007        187 
  8          8        108 Y       1008        188 
  9          9        109 Z       1009        189 
 10         10        500 Z       1010        190 
 11         50        501 Y       1050        191 
 12         12        502 X       1012        192 
 13         13        503 W       1013        193 
 14         14        500 V       1014        194 
 15         15        505 V       1015        195 
 16         16        506 W       1016        196 
 17         17        507 X       1017        197 
 18         18        508 Y       1018        198 
 19         19        509 Z       1019        199 
 20         20        120 Z       1020        200 
 21         21        101 Y       1021        181 
 22         60        500 X       1060        182 
 23         23        104 V       1023        183 
 24         24        106 W       1024        184 
 25         25        500 V       1025        185 
 26         26        106 W       1010        186 
 27         27        102 X       1021        187 
 28         28        103 Y       1001        188 
 29         29        103 Z       1001        189 
 30         30        108 Z       1001        190 
 31         31        109 Y       1005        191 
 32         32        107 X       1005        192 
 33         70        509 W       1004        193 
 34         34        508 V       1050        194 
 35         35        508 V       1016        195 
 36         36        506 W       1017        196 
 37         37        502 X       1021        197 
 38         38        500 Y       1012        198 
 39         39        120 Z       1019        199 
 40         40        508 V       1004        200 
 41         41        106 W       1008        181 
 42         42        107 X       1009        182 
 43         43        108 Y       1016        183 
 44         90        109 Z       1018        184 
 45         45        500 Z       1014        185 
 46         46        500 Y       1025        186 
 47         47        502 X       1024        187 
 48         48        507 W       1023        188 
 49         49        120 V       1010        189 
 50         22        101 V       1002        190 
STATS TABCARD 50
STATS COLCARD 0 50 90 1
STATS COLCARD 1 20 509 9
STATS COLCARD 2 5 Z V
STATS COLCARD 3 25 1060 10
STATS COLCARD 4 20 200 181
